tick, news, price
11, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.44 
13, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.41 
14, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.35 
16, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.38 
17, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.37 
19, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.36 
21, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.33 
22, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.36 
24, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.44 
25, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.44 
27, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.6 
28, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.58 
30, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.51 
31, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.55 
33, NEW OIL PROJECT IN NORTHWEST TERRITORIES-New oil drilling project begins in the Northwest Territories of Canada. Excavators say that there is a 70% chance of finding a major oil deposit., 98.55 
