tick,,price,,
4, Welcome to the COM5 case-,100.11,,
6, Welcome to the COM5 case-,100.08,,
7, Welcome to the COM5 case-,100.07,,
9, Welcome to the COM5 case-,100.04,,
10, Welcome to the COM5 case-,100,,
12, Welcome to the COM5 case-,100.04,,
13, Welcome to the COM5 case-,100.11,,
15, Welcome to the COM5 case-,100.09,,
16, Welcome to the COM5 case-,100.15,,
18, Welcome to the COM5 case-,100.2,,
19, Welcome to the COM5 case-,100.2,,
21, Welcome to the COM5 case-,100.12,,
22, Welcome to the COM5 case-,100.18,,
24, Welcome to the COM5 case-,100.14,,
25, Welcome to the COM5 case-,100.13,,
27, Welcome to the COM5 case-,100.16,,
28, Welcome to the COM5 case-,100.2,,
30, Welcome to the COM5 case-,100.03,,
31, Welcome to the COM5 case-,100,,
33, Welcome to the COM5 case-,99.91,,
34, Welcome to the COM5 case-,99.88,,
36, Welcome to the COM5 case-,99.79,,
37, Welcome to the COM5 case-,99.74,,
39, Welcome to the COM5 case-,99.73,,
40, Welcome to the COM5 case-,99.73,,
42, Welcome to the COM5 case-,99.64,,
43, Welcome to the COM5 case-,99.65,,
45, Welcome to the COM5 case-,99.62,,
46, Welcome to the COM5 case-,99.59,,
48, Welcome to the COM5 case-,99.53,,
49, Welcome to the COM5 case-,99.53,,
51, Welcome to the COM5 case-,99.64,,
52, Welcome to the COM5 case-,99.62,,
54, Welcome to the COM5 case-,99.66,,
55, Welcome to the COM5 case-,99.7,,
57, Welcome to the COM5 case-,99.76,,
58, PIPELINE COST FOR CUSHING TO NYC GOING DOWN TO $14,99.79,,
60, PIPELINE COST FOR CUSHING TO NYC GOING DOWN TO $14,99.75,,
61, PIPELINE COST FOR CUSHING TO NYC GOING DOWN TO $14,99.76,,
63, PIPELINE COST FOR CUSHING TO NYC GOING DOWN TO $14,99.75,,
64, PIPELINE COST FOR CUSHING TO NYC GOING DOWN TO $14,99.8,,
66, PIPELINE COST FOR CUSHING TO NYC GOING DOWN TO $14,99.79,,
67, PIPELINE COST FOR CUSHING TO NYC GOING DOWN TO $14,99.65,,
69, PIPELINE COST FOR CUSHING TO NYC GOING DOWN TO $14,99.68,,
70, PIPELINE COST FOR CUSHING TO NYC GOING DOWN TO $14,99.75,,
72, CHINA BEGINS PRODUCTION ON NEW OIL SANDS -China has begun oil production in the South-Western regions of Tibet,99.8,,
73, CHINA BEGINS PRODUCTION ON NEW OIL SANDS -China has begun oil production in the South-Western regions of Tibet,99.85,,
75, CHINA BEGINS PRODUCTION ON NEW OIL SANDS -China has begun oil production in the South-Western regions of Tibet,99.84,,
76, CHINA BEGINS PRODUCTION ON NEW OIL SANDS -China has begun oil production in the South-Western regions of Tibet,99.88,,
78, CHINA BEGINS PRODUCTION ON NEW OIL SANDS -China has begun oil production in the South-Western regions of Tibet,99.98,,
79, CHINA BEGINS PRODUCTION ON NEW OIL SANDS -China has begun oil production in the South-Western regions of Tibet,99.95,,
81, CHINA BEGINS PRODUCTION ON NEW OIL SANDS -China has begun oil production in the South-Western regions of Tibet,100.02,,
82, CHINA BEGINS PRODUCTION ON NEW OIL SANDS -China has begun oil production in the South-Western regions of Tibet,100.04,,
84, CHINA BEGINS PRODUCTION ON NEW OIL SANDS -China has begun oil production in the South-Western regions of Tibet,99.89,,
85, CHINA BEGINS PRODUCTION ON NEW OIL SANDS -China has begun oil production in the South-Western regions of Tibet,99.83,,
87, CHINA BEGINS PRODUCTION ON NEW OIL SANDS -China has begun oil production in the South-Western regions of Tibet,99.82,,
88, CHINA BEGINS PRODUCTION ON NEW OIL SANDS -China has begun oil production in the South-Western regions of Tibet,99.83,0.03,16
90, WEEK 1 CL ACTUAL DRAW 4 MLN BBLS VS FORECAST BUILD 7 MLN BBLS-WEEK 1 CL ACTUAL DRAW 4 MLN BBLS VS FORECAST BUILD 7 MLN BBLS,99.84,Up,
91, WEEK 1 CL ACTUAL DRAW 4 MLN BBLS VS FORECAST BUILD 7 MLN BBLS-WEEK 1 CL ACTUAL DRAW 4 MLN BBLS VS FORECAST BUILD 7 MLN BBLS,99.82,,
93, WEEK 1 CL ACTUAL DRAW 4 MLN BBLS VS FORECAST BUILD 7 MLN BBLS-WEEK 1 CL ACTUAL DRAW 4 MLN BBLS VS FORECAST BUILD 7 MLN BBLS,99.92,,
